recordid,<fullpath>,<realpath>,<pageno>,<createdate>,城市,房源,小区,租金,看房人数,房型,面积,朝向,楼层,建立年代,地铁,链接
1,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,正规主卧室，朝西带阳台，诚心出租,西三环北路105号院??,2700元/月,44,2室1厅??,15平米??,南,低楼层(共18层),1998年建塔楼,距离6号线花园桥站588米,https://bj.lianjia.com/zufang/101101695637.html
2,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,单间出租随时起租 北洼路 小河边 电梯高楼层,北洼东里??,2800元/月,1,2室1厅??,65平米??,东 南,高楼层(共18层),1998年建塔楼,,https://bj.lianjia.com/zufang/101101985637.html
3,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,紫竹院南路20号院2居室 02卧,紫竹院南路20号院??,2660元/月,9,2室1厅??,8平米??,南,中楼层(共5层),1965年建板楼,距离6号线花园桥站538米,https://bj.lianjia.com/zufang/BJ0002979905.html
4,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,双榆树北路两居室，近中航广场，地铁,双榆树北路??,2700元/月,0,2室1厅??,75平米??,南,中楼层(共5层),1985年建板楼,距离10号线知春里站863米,https://bj.lianjia.com/zufang/101101978125.html
5,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,文慧园4居室 05卧,文慧园??,2530元/月,0,4室1厅??,10平米??,北,高楼层(共6层),1999年建板楼,距离2号线积水潭站1199米,https://bj.lianjia.com/zufang/BJ0002992687.html
6,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,怡美家园3居室 01卧,怡美家园??,2590元/月,1,3室1厅??,12平米??,东,中楼层(共18层),2001年建板楼,,https://bj.lianjia.com/zufang/BJ0002980897.html
7,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,二里庄小区3居室 01卧,二里庄小区??,2930元/月,0,3室1厅??,11平米??,北,中楼层(共6层),1993年建板楼,,https://bj.lianjia.com/zufang/BJ0003000568.html
8,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,世华龙樾3居室 01卧,世华龙樾??,2530元/月,0,3室1厅??,11平米??,南,高楼层(共18层),2013年建板塔结合,距离8号线西小口站141米,https://bj.lianjia.com/zufang/BJ0002997329.html
9,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,雪芳园4居室 05卧,雪芳园??,2560元/月,2,4室1厅??,17平米??,北,低楼层(共16层),2014年建板塔结合,,https://bj.lianjia.com/zufang/BJ0002954387.html
10,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,安宁里3居室 02卧,安宁里??,2530元/月,1,3室1厅??,12平米??,南,低楼层(共6层),1995年建板楼,,https://bj.lianjia.com/zufang/BJ0002973642.html
11,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,明光北里2居室 02卧,明光北里??,2730元/月,1,2室1厅??,7平米??,南,低楼层(共5层),1985年建板楼,距离13号线大钟寺站1137米,https://bj.lianjia.com/zufang/BJ0002982134.html
12,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,博雅德园4居室 03卧,博雅德园??,2690元/月,1,4室1厅??,12平米??,北,高楼层(共16层),2005年建板楼,,https://bj.lianjia.com/zufang/BJ0002973535.html
13,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,百旺新城4居室 01卧,百旺新城??,2590元/月,0,4室1厅??,16平米??,南,低楼层(共6层),2004年建板楼,距离16号线西北旺站631米,https://bj.lianjia.com/zufang/BJ0003000938.html
14,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,百旺新城2居室 01卧,百旺新城??,2890元/月,0,2室1厅??,11平米??,南,高楼层(共6层),2004年建板楼,距离16号线西北旺站1170米,https://bj.lianjia.com/zufang/BJ0002976650.html
15,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,蓟门北里3居室 03卧,蓟门北里??,2560元/月,0,3室1厅??,9平米??,北,中楼层(共6层),1988年建板楼,距离10号线西土城站501米,https://bj.lianjia.com/zufang/BJ0002999920.html
16,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,唐家岭新城2居室 01卧,唐家岭新城??,2630元/月,0,2室1厅??,11平米??,南,中楼层(共19层),2011年建板塔结合,,https://bj.lianjia.com/zufang/BJ0002982976.html
17,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,唐家岭新城2居室 02卧,唐家岭新城??,2560元/月,0,2室1厅??,9平米??,北,中楼层(共19层),2011年建板塔结合,,https://bj.lianjia.com/zufang/BJ0002982977.html
18,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,蓟门南里3居室 01卧,蓟门南里??,2860元/月,1,3室1厅??,14平米??,南,低楼层(共6层),1986年建板楼,距离10号线西土城站882米,https://bj.lianjia.com/zufang/BJ0002998468.html
19,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,清林苑4居室 03卧,清林苑??,2960元/月,1,4室1厅??,11平米??,北,中楼层(共7层),2001年建板楼,,https://bj.lianjia.com/zufang/BJ0002980884.html
20,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,燕清源4居室 02卧,燕清源??,2730元/月,0,4室1厅??,13平米??,东北,高楼层(共28层),2005年建板塔结合,,https://bj.lianjia.com/zufang/BJ0002991845.html
21,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,电力宿舍3居室 02卧,电力宿舍??,2790元/月,0,3室1厅??,10平米??,东,高楼层(共14层),1997年建板楼,,https://bj.lianjia.com/zufang/BJ0002975913.html
22,https://bj.lianjia.com/zufang/haidian/rp3/,https://bj.lianjia.com/zufang/haidian/rp3/,0,2017-08-24 14:00:56.0,北京,北洼路44号院3居室 02卧,北洼路44号院??,2690元/月,1,3室1厅??,7平米??,北,低楼层(共6层),1989年建板楼,距离10号线西钓鱼台站828米,https://bj.lianjia.com/zufang/BJ0002984446.html
